Kurtosis, Skewness, Std, Range, Median, Geometric_Mean, Mobility, Complexity, Tag
15.0238,2.91,274.774,1789,228,160.4439,0.14774,0.8579,0
2.801,0.92232,235.7319,917,179,145.3054,0.12009,1.2987,0
3.9885,0.88732,174.5089,817,260,182.6219,0.20034,1.5965,0
5.4531,1.8364,343.9752,1336,69.5,120.5608,0.083738,1.2973,0
15.801,3.3805,443.4495,2785,118,113.9388,0.23159,1.2115,0
2.0605,0.84796,336.7412,1055,17,56.6252,0.072721,1.3074,0
49.7006,6.3086,358.5921,3501,175,190.336,0.58497,1.4512,0
4.939,1.7378,348.4922,1544,103.5,110.61,0.1954,1.5202,0
3.0864,0.85971,239.3772,1049,199.5,137.5129,0.15611,1.4071,0
20.7576,2.9815,188.2063,1751,202.5,205.5073,0.32881,1.1993,0
3.6156,1.1463,277.5614,1186,122.5,93.9565,0.13894,1.3745,0
3.9062,1.3586,250.262,1204,140,157.0468,0.20574,1.5659,0
246.5083,15.5525,1346.7706,21560,131,109.5195,0.93792,0.29744,0
3.2761,0.86448,194.1974,824,209.5,186.3164,0.10419,1.3725,0
47.7657,6.542,1221.4274,11465,47,38.5514,0.48348,1.0851,0
49.8428,6.5881,1031.7524,9579,26.5,43.8146,0.40003,0.90656,0
2.8579,0.17565,143.3197,679,277,198.3457,0.12642,1.3206,0
1.5263,0.12513,172.4544,566,218.5,184.9264,0.085569,1.5989,0
9.9604,2.6748,496.9085,2761,31.5,62.1301,0.35213,1.1066,0
4.8449,1.3017,138.8565,691,206.5,223.8674,0.13447,1.3989,0
20.783,3.6537,328.8587,2413,121,143.718,0.27603,1.2141,0
2.1402,0.49899,167.8452,728,215.5,198.5296,0.20936,1.4644,0
26.2259,4.5208,718.0019,5575,5.5,58.4722,0.34865,1.0995,0
1.922,0.090054,161.0243,586,233.5,194.9022,0.081301,1.7125,0
8.1248,1.9905,180.1765,1234,175.5,213.36,0.2598,1.3966,0
4.726,1.7087,372.1353,1404,74,93.8233,0.070893,1.398,0
4.1015,1.242,231.491,1021,191.5,127.3717,0.12867,1.461,0
3.1725,1.2469,307.3348,1051,165,91.1347,0.08052,1.3371,0
9.1122,2.2955,285.9348,1515,182.5,141.6051,0.1536,1.3256,0
4.0751,0.93108,190.1588,1078,228,171.1365,0.2748,1.6882,0
106.3525,8.3755,292.2114,3999,187.5,154.7369,0.5303,0.80117,0
52.8512,6.3493,324.2962,3371,183,189.2781,0.49929,1.151,0
